salary,workYear,district,positionName,positionAdvantage,education,companyFullName,createTime
15k-30k,1-3年,南山区,Python开发工程师,东南亚跨境电商平台、福利棒、美女多,本科,冬竞投资有限公司深圳分公司,2017-09-29 10:16:20
18k-25k,1-3年,罗湖区,Python开发工程师,"新三板挂牌,互联网金融,团队氛围",本科,深圳众禄金融控股股份有限公司,2017-09-28 13:49:08
15k-30k,3-5年,南山区,Python,"海外手游,高配团队,两次调薪,年终奖",本科,深圳市乐易网络有限公司,2017-09-29 09:14:52
12k-20k,1-3年,南山区,python开发工程师,"假期多,弹性工作,活动多",本科,深圳市新华云帆科技有限公司,2017-09-29 09:27:40
10k-16k,1-3年,宝安区,python开发工程师,"技术大牛多,成长空间大,薪资待遇好,工作氛围好",本科,斯坦德机器人（深圳）有限公司,2017-09-28 09:31:17
15k-30k,3-5年,南山区,Python工程师（运维平台）,核心事业群 千万级日活 氛围好 组织扁平,本科,广东欧珀移动通信有限公司,2017-09-11 09:47:05
8k-10k,不限,南山区,python开发工程师,"可兼职,可在家工作",不限,江门市新会区七月半电子商务有限公司,2017-09-29 10:14:54
10k-15k,1-3年,南山区,python开发工程师,"五险一金,双休",本科,深圳优克云联科技有限公司,2017-09-29 14:56:47
15k-25k,3-5年,南山区,高级Python开发工程师,五险一金、14薪/年、下午茶、工作餐等等,本科,深圳市和讯华谷信息技术有限公司,2017-09-29 14:07:22
8k-15k,1-3年,,python开发工程师,"APP,web开发,后端开发",本科,深圳市老字号财务顾问有限公司,2017-09-29 15:05:08
7k-10k,1-3年,南山区,Python开发工程师,"下午茶零食,周末双休,年度旅游,十点上班",本科,中国都会控股集团有限公司,2017-09-29 14:02:02
20k-30k,3-5年,南山区,Python,"国内外旅游,五险一金,任性下午茶,年终奖金",大专,深圳市五一五游戏网络有限公司,2017-09-29 11:11:20
15k-20k,3-5年,福田区,Python开发工程师,弹性工作,大专,飞马大宗投资有限公司,2017-09-29 09:21:12
9k-15k,1-3年,福田区,Python工程师,五险一金 员工旅游 周末双休,大专,深圳市紫川软件有限公司,2017-09-29 09:51:47
